[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet političkih znanosti Sveučilišta u Zagrebu', 'Redovni', 'Politologija', 'Zagreb', 125.0, 1359.0, 223.0, 1.78, 0, 127.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Rijeci', 'Redovni', 'Poslovna ekonomija; smjerovi: Financije i računovodstvo, Poduzetništvo, Menadžment, Marketing, Međunarodno poslovanje', 'Rijeka', 125.0, 965.0, 197.0, 1.58, 0, 125.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet političkih znanosti Sveučilišta u Zagrebu', 'Redovni', 'Novinarstvo', 'Zagreb', 125.0, 1307.0, 249.0, 1.99, 0, 124.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Zagrebu', 'Redovni', 'Javna uprava (stručni)', 'Zagreb', 120.0, 1172.0, 181.0, 1.51, 0, 122.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Zagrebu', 'Redovni', 'Socijalni rad', 'Zagreb', 121.0, 739.0, 203.0, 1.68, 0, 122.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Filozofski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Anglistika (dvopredmetni)', 'Zagreb', 132.0, 833.0, 216.0, 1.64, 0, 122.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Fakultet organizacije i informatike u Varaždinu Sveučilišta u Zagrebu', 'Redovni', 'Ekonomika poduzetništva', 'Varaždin', 120.0, 550.0, 147.0, 1.23, 0, 121.0]
[2014, 'l', 'Veleučilište u Karlovcu', 'Javna veleučilišta', 'Veleučilište u Karlovcu', 'Redovni', 'Ugostiteljstvo (stručni)', 'Karlovac', 122.0, 509.0, 166.0, 1.36, 0, 121.0]
[2014, 'l', 'Tehničko veleučilište u Zagrebu', 'Javna veleučilišta', 'Tehničko veleučilište u Zagrebu', 'Redovni', 'Graditeljstvo; smjerovi: Visokogradnja, Niskogradnja, Građevinsko poduzetništvo, Okoliš u graditeljstvu (stručni)', 'Zagreb', 120.0, 473.0, 100.0, 0.83, 0, 120.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Arhitektonski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Arhitektura i urbanizam', 'Zagreb', 125.0, 374.0, 261.0, 2.09, 0, 120.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Građevinski i arhitektonski fakultet Sveučilišta u Osijeku', 'Redovni', 'Građevinarstvo; smjer: opći', 'Osijek', 125.0, 363.0, 124.0, 0.99, 0, 120.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Zagrebu', 'Izvanredni', 'Poslovna ekonomija (izvanredni, stručni)', 'Zagreb', 120.0, 705.0, 127.0, 1.06, 0, 120.0]
[2014, 'l', 'Zagrebačka škola ekonomije i managementa', 'Privatne visoke škole', 'Zagrebačka škola ekonomije i managementa', 'Redovni', 'Ekonomija i management (stručni)', 'Zagreb', 280.0, 319.0, 112.0, 0.4, 0, 118.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Geotehnički fakultet Sveučilišta u Zagrebu', 'Redovni', 'Inženjerstvo okoliša', 'Varaždin', 118.0, 481.0, 100.0, 0.85, 0, 114.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek', 'Redovni', 'Računarstvo', 'Osijek', 115.0, 503.0, 174.0, 1.51, 0, 112.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek', 'Redovni', 'Elektrotehnika i informacijska tehnologija', 'Osijek', 115.0, 467.0, 132.0, 1.15, 0, 111.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Zagrebu', 'Izvanredni', 'Javna uprava (izvanredni, stručni)', 'Zagreb', 110.0, 376.0, 93.0, 0.85, 0, 110.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Ekonomski fakultet Sveučilišta u Rijeci', 'Izvanredni', 'Poslovna ekonomija; smjerovi: Financije i računovodstvo, Poduzetništvo, Menadžment, Marketing, Međunarodno poslovanje (izvanredni)', 'Rijeka', 130.0, 264.0, 64.0, 0.49, 0, 109.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Šumarski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Drvna tehnologija', 'Zagreb', 110.0, 454.0, 135.0, 1.23, 0, 106.0]
[2014, 'l', 'Sveučilište Josipa Jurja Strossmayera u Osijeku', 'Javna sveučilišta', 'Pravni fakultet Sveučilišta u Osijeku', 'Redovni', 'Upravni studij (stručni)', 'Osijek', 102.0, 658.0, 102.0, 1.0, 0, 101.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu', 'Redovni', 'Strojarstvo', 'Split', 100.0, 441.0, 91.0, 0.91, 0, 100.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Tekstilno-tehnološki fakultet Sveučilišta u Zagrebu', 'Redovni', 'Tekstilni i modni dizajn; smjerovi: Modni dizajn, Dizajn tekstila', 'Zagreb', 110.0, 343.0, 158.0, 1.44, 0, 100.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu', 'Redovni', 'Računarstvo', 'Split', 100.0, 501.0, 141.0, 1.41, 0, 100.0]
[2014, 'l', 'Veleučilište u Karlovcu', 'Javna veleučilišta', 'Veleučilište u Karlovcu', 'Izvanredni', 'Sigurnost i zaštita; smjerovi: Zaštita na radu, Zaštita od požara (izvanredni, stručni)', 'Karlovac', 102.0, 232.0, 64.0, 0.63, 0, 100.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Tehnički fakultet Sveučilišta u Rijeci', 'Redovni', 'Elektrotehnika', 'Rijeka', 103.0, 583.0, 111.0, 1.08, 0, 100.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Pomorski fakultet Sveučilišta u Splitu', 'Redovni', 'Pomorska nautika', 'Split', 100.0, 824.0, 231.0, 2.31, 0, 100.0]
[2014, 'l', 'Visoko gospodarsko učilište u Križevcima', 'Javne visoke škole', 'Visoko gospodarsko učilište u Križevcima', 'Redovni', 'Poljoprivreda (stručni)', 'Križevci', 120.0, 246.0, 108.0, 0.9, 0, 96.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Građevinski fakultet Sveučilišta u Rijeci', 'Redovni', 'Građevinarstvo', 'Rijeka', 100.0, 430.0, 103.0, 1.03, 0, 95.0]
[2014, 'l', 'Sveučilište u Rijeci', 'Javna sveučilišta', 'Fakultet za  menadžment u turizmu i ugostiteljstvu Sveučilišta u Rijeci', 'Redovni', 'Poslovna ekonomija u turizmu i ugostiteljstvu', 'Opatija', 92.0, 897.0, 181.0, 1.97, 0, 91.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Fakultet građevinarstva, arhitekture i geodezije Sveučilišta u Splitu', 'Redovni', 'Građevinarstvo', 'Split', 90.0, 521.0, 84.0, 0.93, 0, 90.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu', 'Redovni', 'Matematika; smjer: nastavnički', 'Zagreb', 92.0, 400.0, 81.0, 0.88, 0, 90.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Medicinski fakultet Sveučilišta u Splitu', 'Redovni', 'Medicina', 'Split', 90.0, 577.0, 154.0, 1.71, 0, 90.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Stomatološki fakultet Sveučilišta u Zagrebu', 'Redovni', 'Dentalna medicina', 'Zagreb', 90.0, 580.0, 223.0, 2.48, 0, 87.0]
[2014, 'l', 'Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ', 'Privatna veleučilišta', 'Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ', 'Redovni', 'Poslovanje i upravljanje (stručni)', 'Zaprešić', 210.0, 236.0, 81.0, 0.39, 0, 87.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Šumarski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Šumarstvo', 'Zagreb', 90.0, 607.0, 128.0, 1.42, 0, 85.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Prirodoslovno-matematički fakultet Sveučilišta u Zagrebu', 'Redovni', 'Kemija', 'Zagreb', 85.0, 450.0, 74.0, 0.87, 0, 85.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Geodetski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Geodezija i geoinformatika', 'Zagreb', 90.0, 596.0, 133.0, 1.48, 0, 85.0]
[2014, 'l', 'Sveučilište u Splitu', 'Javna sveučilišta', 'Sveučilišni odjel za stručne studije', 'Redovni', 'Menadžment trgovine i turizma (stručni)', 'Split', 83.0, 701.0, 145.0, 1.75, 0, 83.0]
[2014, 'l', 'Zdravstveno veleučilište u Zagrebu', 'Javna veleučilišta', 'Zdravstveno veleučilište u Zagrebu', 'Redovni', 'Fizioterapija (stručni)', 'Zagreb', 80.0, 1582.0, 371.0, 4.64, 0, 83.0]
[2014, 'l', 'Sveučilište u Zagrebu', 'Javna sveučilišta', 'Učiteljski fakultet Sveučilišta u Zagrebu', 'Redovni', 'Rani i predškolski odgoj i obrazovanje', 'Zagreb', 80.0, 1094.0, 272.0, 3.4, 0, 83.0]
