Odjel za anglistiku Sveučilišta u Zadru	Odjel za anglistiku Sveučilišta u Zadru
Muzička akademija Sveučilišta u Puli	Muzička akademija Sveučilišta u Puli
Strojarski fakultet Sveučilišta u Slavonskom Brodu	Strojarski fakultet Sveučilišta u Slavonskom Brodu
Odjel za fiziku Sveučilišta u Rijeci	Odjel za fiziku Sveučilišta u Rijeci
Visoka škola za menadžment u turizmu i informatici u Virovitici	Visoka škola za menadžment u turizmu i informatici u Virovitici
Odjel za geografiju Sveučilišta u Zadru	Odjel za geografiju Sveučilišta u Zadru
Prehrambeno tehnološki fakultet Sveučilišta u Osijeku	Prehrambeno tehnološki fakultet Sveučilišta u Osijeku
Odjel za lingvistiku Sveučilišta u Zadru	Odjel za lingvistiku Sveučilišta u Zadru
Veleučilište u Karlovcu	Veleučilište u Karlovcu
Odjel za prirodne i zdravstvene studije Sveučilišta u Puli	Odjel za prirodne i zdravstvene studije Sveučilišta u Puli
Geodetski fakultet Sveučilišta u Zagrebu	Geodetski fakultet Sveučilišta u Zagrebu
Odjel za nastavničke studije u Gospiću	Odjel za nastavničke studije u Gospiću
Grafički fakultet Sveučilišta u Zagrebu	Grafički fakultet Sveučilišta u Zagrebu
Odjel za akvakulturu Sveučilišta u Dubrovniku	Odjel za akvakulturu Sveučilišta u Dubrovniku
Tehnički fakultet Sveučilišta u Rijeci	Tehnički fakultet Sveučilišta u Rijeci
Fakultet agrobiotehničkih znanosti Osijek	Fakultet agrobiotehničkih znanosti Osijek
Teološko-katehetski odjel Sveučilišta u Zadru	Teološko-katehetski odjel Sveučilišta u Zadru
Kineziološki fakultet Sveučilišta u Zagrebu	Kineziološki fakultet Sveučilišta u Zagrebu
Farmaceutsko-biokemijski fakultet Sveučilišta u Zagrebu	Farmaceutsko-biokemijski fakultet Sveučilišta u Zagrebu
Agronomski fakultet Sveučilišta u Zagrebu	Agronomski fakultet Sveučilišta u Zagrebu
Pomorski odjel Sveučilišta u Dubrovniku	Pomorski odjel Sveučilišta u Dubrovniku
Veleučilište "Nikola Tesla" u Gospiću	Veleučilište "Nikola Tesla" u Gospiću
Građevinski fakultet Sveučilišta u Rijeci	Građevinski fakultet Sveučilišta u Rijeci
Politehnika Pula - Visoka tehničko-poslovna škola s pravom javnosti	Politehnika Pula - Visoka tehničko-poslovna škola s pravom javnosti
Medicinski fakultet Sveučilišta u Osijeku	Medicinski fakultet Sveučilišta u Osijeku
Stomatološki fakultet Sveučilišta u Zagrebu	Stomatološki fakultet Sveučilišta u Zagrebu
Sveučilište Sjever	Sveučilište Sjever
Filozofski fakultet Sveučilišta u Puli	Filozofski fakultet Sveučilišta u Puli
Fakultet prirodnih znanosti u Puli	Fakultet prirodnih znanosti u Puli
Ekonomski fakultet Sveučilišta u Zagrebu	Ekonomski fakultet Sveučilišta u Zagrebu
Edward Bernays Visoka škola za komunikacijski menadžment	Edward Bernays Visoka škola za komunikacijski menadžment
Tehnički odjel Sveučilišta u Slavonskom Brodu	Tehnički odjel Sveučilišta u Slavonskom Brodu
Visoka poslovna škola Libertas	Visoka poslovna škola Libertas
Veleučilište Hrvatsko zagorje Krapina	Veleučilište Hrvatsko zagorje Krapina
Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek	Fakultet elektrotehnike, računarstva i informacijskih tehnologija Osijek
Pomorski fakultet Sveučilišta u Rijeci	Pomorski fakultet Sveučilišta u Rijeci
Sveučilište u Rijeci	Sveučilište u Rijeci
Medicinski fakultet i Kemijsko-tehnološki fakultet Sveučilišta u Splitu	Medicinski fakultet i Kemijsko-tehnološki fakultet Sveučilišta u Splitu
Teološki fakultet 'Matija Vlačić Ilirik' s pravom javnosti	Teološki fakultet 'Matija Vlačić Ilirik' s pravom javnosti
Tekstilno-tehnološki fakultet Sveučilišta u Zagrebu	Tekstilno-tehnološki fakultet Sveučilišta u Zagrebu
Odjel društveno-humanističkih znanosti Sveučilišta u Slavonskom Brodu	Odjel društveno-humanističkih znanosti Sveučilišta u Slavonskom Brodu
Fakultet elektrotehnike i računarstva i Sveučilište Algebra (u osnivanju)	Fakultet elektrotehnike i računarstva i Sveučilište Algebra (u osnivanju)
Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu	Fakultet elektrotehnike, strojarstva i brodogradnje Sveučilišta u Splitu
Odjel za humanističke znanosti Sveučilišta u Dubrovniku i Filozofski fakultet Sveučilišta u Zagrebu	Odjel za humanističke znanosti Sveučilišta u Dubrovniku i Filozofski fakultet Sveučilišta u Zagrebu
Fakultet za odgojne i obrazovne znanosti Sveučilišta u Puli	Fakultet za odgojne i obrazovne znanosti Sveučilišta u Puli
Visoka policijska škola	Visoka policijska škola
Visoka škola menadžmenta i sigurnosti SECURUS (u osnivanju)	Visoka škola menadžmenta i sigurnosti SECURUS (u osnivanju)
Visoka škola Ivanić-Grad (u osnivanju)	Visoka škola Ivanić-Grad (u osnivanju)
EFFECTUS poduzetnički studiji - visoko učilište	EFFECTUS poduzetnički studiji - visoko učilište
Kemijsko-tehnološki fakultet Sveučilišta u Splitu	Kemijsko-tehnološki fakultet Sveučilišta u Splitu
Medicinski fakultet Sveučilišta u Splitu	Medicinski fakultet Sveučilišta u Splitu
Prirodoslovno-matematički fakultet Sveučilišta u Splitu	Prirodoslovno-matematički fakultet Sveučilišta u Splitu
Odjel za hispanistiku i iberske studije Sveučilišta u Zadru	Odjel za hispanistiku i iberske studije Sveučilišta u Zadru
Pomorski odjel Sveučilišta u Zadru	Pomorski odjel Sveučilišta u Zadru
Odjel za psihologiju Sveučilišta u Zadru	Odjel za psihologiju Sveučilišta u Zadru
Fakultet za fiziku Sveučilišta u Rijeci	Fakultet za fiziku Sveučilišta u Rijeci
Filozofski fakultet Sveučilišta u Zagrebu	Filozofski fakultet Sveučilišta u Zagrebu
Zdravstveno veleučilište u Zagrebu	Zdravstveno veleučilište u Zagrebu
Zagrebačka škola ekonomije i managementa	Zagrebačka škola ekonomije i managementa
Odjel za etnologiju i antropologiju Sveučilišta u Zadru	Odjel za etnologiju i antropologiju Sveučilišta u Zadru
Akademija dramske umjetnosti Sveučilišta u Zagrebu	Akademija dramske umjetnosti Sveučilišta u Zagrebu
Hrvatski studiji Sveučilišta u Zagrebu	Hrvatski studiji Sveučilišta u Zagrebu
Medicinski fakultet Sveučilišta u Zagrebu	Medicinski fakultet Sveučilišta u Zagrebu
Fakultet za matematiku Sveučilišta u Rijeci	Fakultet za matematiku Sveučilišta u Rijeci
Fakultet za interdisciplinarne, talijanske i kulturološke studije Sveučilišta u Puli	Fakultet za interdisciplinarne, talijanske i kulturološke studije Sveučilišta u Puli
