Povijest umjetnosti i Mađarski jezik i književnost	
Povijest umjetnosti i Njemački jezik i književnost	
Pravo	
Predškolski odgoj	
Prehrambena tehnologija	
Primaljstvo	
Primijenjena ekologija mora	
Primijenjena ekologija u poljoprivredi	
Primijenjena ekonomija	
Primijenjena kemija	
Primijenjena umjetnost	umjetnost
Primijenjeno / poslovno računarstvo	
Primijenjeno računarstvo	
Primjena informacijske tehnologije u poslovanju	
Produkcija	umjetnost
Proizvodno strojarstvo	
Promet	
Prometna logistika	
Protestantska teologija	
Psihologija	
Puhački instrumenti	umjetnost
Računarstvo	
Računarstvo i informatika	
Računovodstvo	
Računovodstvo i financije	
Radiološka tehnologija	
Radna terapija	
Rani i predškolski odgoj i obrazovanje	
Rehabilitacija	
Restauriranje i konzerviranje umjetnina	
Rudarstvo	
Rumunjski jezik i književnost	
Ruski jezik i književnost	
Sanitarno inženjerstvo	
Service Management	
Sestrinstvo	
Sigurnost	
Sigurnost i zaštita	
Sigurnost na radu	
Sigurnost, zdravlje na radu i radni okoliš	
Slikarstvo	umjetnost
Slovački jezik i književnost	
Snimanje	umjetnost
Socijalna pedagogija	
Socijalni rad	
Sociologija	
Sociologija i Engleski jezik i književnost	
Sociologija i Filozofija	
Sociologija i Hrvatski jezik i književnost	
Sociologija i Pedagogija	
Sociologija i Povijest	
Solo pjevanje	umjetnost
Španjolski jezik i književnost	
Sportski menadžment	
Strojarstvo	
Studij za instrumentaliste	
Studij za marketing i komunikacije	
Šumarstvo	
Suvremeni ples	umjetnost
Švedski jezik i kultura	
Talijanistika	
Talijanski jezik	
Talijanski jezik i književnost	
Tehnička i gospodarska logistika	
Tehnički menadžment	
Tehnologija i organizacija prometa	
Tekstilna odjevna i obućarska tehnologija	
Tekstilna, odjevna i obućarska tehnologija	
Tekstilna tehnologija i inženjerstvo, smjer: Industrijski dizajn tekstila i odjeće	
Tekstilna tehnologija i inženjerstvo, smjerovi: Odjevno inženjerstvo, Projektiranje i menadžment tekstila, Tekstilna kemija, materijali i ekologija	
Tekstilni i modni dizajn	
Telematika	
Teologija	
Teološko - katehetski studij	
Teološko-katehetski studij	
Teološko - religijske znanosti	
Teološko - religijske znanosti i Povijest	
Teološko - religijske znanosti i Sociologija	
Teorija glazbe	umjetnost
Transmedijska dramaturgija	umjetnost
Trgovina	
Trgovinsko poslovanje s poduzetništvom	
Turistički i hotelski menadžment	
Turistički menadžment	
Turističko poslovanje	
Turizam	
Turkologija	
Učiteljski studij	
Ugostiteljstvo	
Ukrajinski jezik i književnost	
Upravljanje opskrbnim lancima	
Upravljanje u gastronomiji i restoraterstvu	
Upravljanje u kriznim uvjetima	
Upravni studij	
Urbano šumarstvo, zaštita prirode i okoliša	
Veterinarska medicina	
Vinarstvo	
Vinogradarstvo-vinarstvo-voćarstvo	
Vojno inženjerstvo	
Vojno pomorstvo MMPI	
Vojno pomorstvo MORH	
Vojno pomorstvo MPPI	
Vojno pomorstvo MUP	
Vojno vođenje i upravljanje	
Zaštita i oporaba materijala	
Zaštita okoliša, recikliranje i ambalaža	
Željeznički promet	
Žičani instrumenti	umjetnost
Znanosti o okolišu	
Znanost o moru	
Zootehnika	
Zrakoplovno inženjerstvo	
Zrakoplovno inženjerstvo i svemirska tehnika	
Zrakoplovstvo	
